KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
EOSEUR-11,1635724800000,403000000,467500000,325000000,353800000,501917080000000,1638316799999,1986387037610000,47675,259688540000000,1031826477500000,0,533844750000000,-31927670000000,-49200000
AVAUSDT-11,1635724800000,280500000,318000000,231800000,236500000,4021332657000000,1638316799999,11201149485916200,493777,1931207220000000,5392507212347000,0,4775121390000000,-753788733000000,-44000000
ADAAUD-11,1635724800000,262400000,321700000,200800000,218500000,3643832862900000,1638316799999,9514821730199000,144434,1739387870000000,4556482282130000,0,3230946010600000,412886852300000,-43900000
MIRBUSD-11,1635724800000,314400000,412700000,251800000,270500000,1697208169400000,1638316799999,5417588713220600,244589,831012410000000,2656586810410000,0,1961967490000000,-264759320600000,-43900000
AVABUSD-11,1635724800000,280800000,318000000,232100000,236900000,728671670000000,1638316799999,2038411541000500,168202,354015365000000,993084428595000,0,1258227320000000,-529555650000000,-43900000
MIRUSDT-11,1635724800000,314100000,412000000,250000000,270500000,8311749316200000,1638316799999,26756178625816000,734954,4016568720000000,12958183259980000,0,8571871414500000,-260122098300000,-43600000
THETAEUR-11,1635724800000,628000000,734500000,513100000,584800000,467695020000000,1638316799999,2925890229810000,72592,235909200000000,1481202030120000,0,547422620000000,-79727600000000,-43200000
ADABUSD-11,1635724800000,196700000,237800000,141800000,155400000,97399762953000000,1638316799999,186830312453956000,3166686,48199976352000000,92584572320674000,0,94187380721000000,3212382232000000,-41300000
ADAUSDC-11,1635724800000,196400000,238000000,141700000,155500000,9549401415000000,1638316799999,18557891268742800,154955,4399627740000000,8530381968740000,0,11105774933000000,-1556373518000000,-40900000
ADATUSD-11,1635724800000,196100000,237600000,141600000,155400000,749488529000000,1638316799999,1425077629188500,20936,357762424000000,678474094790000,0,608842400000000,140646129000000,-40700000
XLMDOWNUSDT-11,1635724800000,376400000,484700000,229200000,335800000,262120115000000,1638316799999,896980507187000,102756,132676004000000,453699962340000,0,401849678000000,-139729563000000,-40600000
FILUPUSDT-11,1635724800000,89790000,105000000,43330000,51210000,9035910470000000,1638316799999,6067816258060600,282030,4454542085000000,2997758156416200,0,9855385683000000,-819475213000000,-38580000
RLCUSDT-11,1635724800000,439700000,661400000,363400000,401400000,7093125105000000,1638316799999,33096035838797900,1196389,3538191384000000,16524483545012900,0,5673830750000000,1419294355000000,-38300000
BELBUSD-11,1635724800000,256000000,295900000,184000000,217700000,1467752510000000,1638316799999,3549829303620000,237691,740781370000000,1792872772070000,0,4673750687000000,-3205998177000000,-38300000
RLCBUSD-11,1635724800000,439800000,661500000,364000000,402200000,535835310000000,1638316799999,2568378691300000,181777,263744230000000,1262007332160000,0,374416230000000,161419080000000,-37600000
MDXBUSD-11,1635724800000,101000000,113200000,62100000,64100000,4374548890000000,1638316799999,3723218231990000,186466,1899266930000000,1620774746000000,0,7040281280000000,-2665732390000000,-36900000
MDXUSDT-11,1635724800000,100900000,113200000,61000000,64100000,25136288123000000,1638316799999,21183157382726800,1164639,11863684040000000,9990262911880000,0,28869387950000000,-3733099827000000,-36800000
BURGERUSDT-11,1635724800000,390000000,660000000,325800000,355700000,6548172520000000,1638316799999,27786338593090000,829363,3188355940000000,13646327837700000,0,8511584570000000,-1963412050000000,-34300000
ADAEUR-11,1635724800000,170700000,205500000,125600000,137000000,20742184471000000,1638316799999,34891196561015500,679558,10154400735000000,17089471566344400,0,21039886867000000,-297702396000000,-33700000
BURGERBUSD-11,1635724800000,389700000,660000000,326100000,356600000,1236874660000000,1638316799999,5301507597690000,298156,601663240000000,2582147567230000,0,2755770500000000,-1518895840000000,-33100000
TKOBUSD-11,1635724800000,191800000,235000000,151200000,161500000,2841178028000000,1638316799999,5294747219480500,298072,1368794040000000,2553478025490000,0,3691371930000000,-850193902000000,-30300000
TKOUSDT-11,1635724800000,191500000,235000000,150200000,161300000,12947693608000000,1638316799999,24050395182152800,806584,6314482302000000,11730436213120000,0,13497505660000000,-549812052000000,-30200000
BAKEBUSD-11,1635724800000,200500000,235600000,160400000,172800000,7231532690000000,1638316799999,14600932781930000,476512,3548763820000000,7176012303050000,0,10269666440000000,-3038133750000000,-27700000
BAKEUSDT-11,1635724800000,200400000,235600000,160100000,172700000,38815826170000000,1638316799999,78383154945590000,3454321,18943581310000000,38270907624750000,0,43151091650000000,-4335265480000000,-27700000
DODOBUSD-11,1635724800000,172900000,189900000,122000000,145400000,6635871160000000,1638316799999,10391717536910000,431235,3254606400000000,5102273400590000,0,10025423550000000,-3389552390000000,-27500000
ADAGBP-11,1635724800000,143020000,172090000,107600000,115650000,2834999038000000,1638316799999,3988112261453500,95324,1372532967000000,1936584558883000,0,2870692954000000,-35693916000000,-27370000
STRAXUSDT-11,1635724800000,227300000,267600000,186200000,200000000,5168598170000000,1638316799999,10954304785690000,467043,2582626640000000,5476439831500000,0,5080927380000000,87670790000000,-27300000
STRAXBUSD-11,1635724800000,227100000,268000000,187000000,199900000,486539190000000,1638316799999,1050413150600000,91627,241032310000000,519795754820000,0,476181420000000,10357770000000,-27200000
CVPBUSD-11,1635724800000,171100000,233300000,134000000,145100000,2873196730000000,1638316799999,4745968307700000,219500,1347485780000000,2227994902270000,0,11708910930000000,-8835714200000000,-26000000
