KRIPTOLAR,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Volume2,vol_fark,satis_fark
BUSDUSDT-10,1633046400000,100000000,100100000,99790000,99930000,3102639421247000000,1635724799999,3102070362118830000,15956741,1526491757435000000,1526263278578050000,0,3121028836842000000,-18389415594999800,-70000
ARDRUSDT-10,1633046400000,28070000,44900000,27300000,34150000,33451581900000000,1635724799999,11251262809600000,402030,16871860700000000,5677920737130000,0,51757417030000000,-18305835130000000,6080000
FIOUSDT-10,1633046400000,16620000,23790000,16330000,18330000,53130491000000000,1635724799999,10119872007850000,450728,26638694000000000,5083536507050000,0,70373919355000000,-17243428355000000,1710000
TVKBUSD-10,1633046400000,18130000,31080000,17140000,24880000,57618157200000000,1635724799999,12255705528520000,821690,28021834700000000,5981561297320000,0,74616049566000000,-16997892366000000,6750000
APPCBTC-10,1633046400000,121,168,116,123,19079893500000000,1635724799999,25265444737,75490,9067413400000000,12089497547,0,35796962400000000,-16717068900000000,2
ASTBTC-10,1633046400000,526,634,357,496,15916012300000000,1635724799999,73361459587,251575,8066817100000000,37323160456,0,32075617200000000,-16159604900000000,-30
LOOMBTC-10,1633046400000,211,256,152,180,26748898500000000,1635724799999,52190758328,117473,12744224300000000,25022326205,0,42315429300000000,-15566530800000000,-31
AGIXBTC-10,1633046400000,743,794,466,570,24289190100000000,1635724799999,146694315401,288063,11955001700000000,72346265453,0,38825833300000000,-14536643200000000,-173
HEGICETH-10,1633046400000,5353,5447,3010,3079,5770771900000000,1635724799999,237949998856,53462,2732988500000000,112715144531,0,20197759800000000,-14426987900000000,-2274
TRXBNB-10,1633046400000,23080,24940,18180,19360,54243711200000000,1635724799999,11503230797980,230121,26966909200000000,5720691051790,0,68482939600000000,-14239228400000000,-3720
ONEBUSD-10,1633046400000,15062000,38000000,14701000,30455000,382731170480000000,1635724799999,96582628296710700,2667405,189608501740000000,47802990920215200,0,396886235340000000,-14155064860000000,15393000
AKROBTC-10,1633046400000,55,65,44,63,93372500500000000,1635724799999,51555660800,59619,46430598600000000,25892948585,0,107508617300000000,-14136116800000000,8
TRXEUR-10,1633046400000,7737000,9127000,7661000,8814000,24025402700000000,1635724799999,2036075691422000,93372,12362153800000000,1048517470180000,0,38151778000000000,-14126375300000000,1077000
CVCBTC-10,1633046400000,994,1158,673,770,8358759200000000,1635724799999,75871395066,115063,4203976000000000,38233891988,0,22391882600000000,-14033123400000000,-224
TWTBUSD-10,1633046400000,98420000,145000000,93720000,104070000,23000722600000000,1635724799999,25876727220870000,768390,11253873400000000,12686357781170000,0,36893708226000000,-13892985626000000,5650000
SNTBTC-10,1633046400000,173,186,130,157,17516619900000000,1635724799999,27595474788,104977,8337414300000000,13159032225,0,30855223100000000,-13338603200000000,-16
XVGETH-10,1633046400000,653,779,508,564,192834395000000000,1635724799999,1213193656523,88396,93858906700000000,591265719233,0,206148353600000000,-13313958600000000,-89
